Hour,consumption (kWh),hourly_expense_without_solar_cell,flux_at_best_angle_OUTPUT,hourly_expense_OUTPUT,flux_at_best_angle_PRICE,hourly_expense_PRICE,Solar Panel Angel Info
0,0.3,4.484999999999999,0.0,4.484999999999999,0.0,4.484999999999999,"MAX value for OUTPUT: 10705.062 kWh & Energy Expense per year = 13396.61 DKK ___ theta = 39.0, phi = 181.0 degrees"
1,0.25,2.565,0.0,2.565,0.0,2.565,"MAX value for PRICE: 9536.535 kWh & Energy Expense per year = 12125.27 DKK ___ theta = 60.0, phi = 215.0 degrees"
2,0.2,0.134,0.0,0.134,0.0,0.134,"MIN value for OUTPUT: 7001.174 kWh ___ theta = 90.0, phi = 135.0 degrees"
3,0.2,0.118,0.0,0.118,0.0,0.118,"MIN value for PRICE: 7863.136 kWh ___ theta = 0.0, phi = 135.0 degrees"
4,0.2,0.074,0.0,0.074,0.0,0.074,
5,0.2,0.0,0.0,0.0,0.0,0.0,
6,0.25,-0.7075,0.0,-0.7075,0.0,-0.7075,
7,0.3,0.0,0.0,0.0,0.0,0.0,
8,0.35,0.0,0.0,0.0,0.0,0.0,
9,0.4,0.12,2.372722686539358,-0.031242009186723804,0.49420518949312825,-0.0014919275860026716,
10,0.45,2.6775,3.036705303262166,-0.8124854291072978,1.2537386820500895,-0.25245472190127416,
11,0.5,0.295,3.4846098347702954,-0.09295895637473908,1.873879529009566,-0.04279098919848484,
12,0.55,0.165,3.685918307065929,-0.049663538229003115,2.312389537482263,-0.027910963105106597,
13,0.6,0.0,3.626907501948142,0.0,2.539399516032602,0.0,
14,0.65,4.1080000000000005,3.3115849170524507,-0.8879920283139768,2.539444873143336,-0.630380783472456,
15,0.7,122.48599719999999,2.7614165806237976,-19.041704847033248,2.312519755447752,-14.895157791907721,
16,0.75,203.79750825,0.0,203.79750825,0.0,203.79750825,
17,0.8,273.8399904,0.0,273.8399904,0.0,273.8399904,
18,0.85,351.2539915,0.0,351.2539915,0.0,351.2539915,
19,0.8,326.904004,0.0,326.904004,0.0,326.904004,
20,0.7,256.2700042,0.0,256.2700042,0.0,256.2700042,
21,0.6,200.74200419999997,0.0,200.74200419999997,0.0,200.74200419999997,
22,0.5,170.8899995,0.0,170.8899995,0.0,170.8899995,
23,0.4,104.11199959999999,0.0,104.11199959999999,0.0,104.11199959999999,
24,0.3,129.1949982,0.0,129.1949982,0.0,129.1949982,
25,0.25,96.0599975,0.0,96.0599975,0.0,96.0599975,
26,0.2,78.721997,0.0,78.721997,0.0,78.721997,
27,0.2,65.678003,0.0,65.678003,0.0,65.678003,
28,0.2,74.4840026,0.0,74.4840026,0.0,74.4840026,
29,0.2,114.6560058,0.0,114.6560058,0.0,114.6560058,
30,0.25,195.35499575,0.0,195.35499575,0.0,195.35499575,
31,0.3,313.7579955,0.0,313.7579955,0.0,313.7579955,
32,0.35,379.9494811,0.0,379.9494811,0.0,379.9494811,
