,Flux
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.046023794947917564
8,0.11371207734619858
9,0.1729933031511482
10,0.21982948847262884
11,0.25103000220720223
12,0.2644689879108967
13,0.25923026595689197
14,0.23566982337542913
15,0.19539162007857708
16,0.14113836384159406
17,0.07660469417730949
18,0.006185523762208441
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.045537793959227094
32,0.11331646045358383
33,0.17271751523441195
34,0.2196947479721699
35,0.25104784432560945
36,0.2646404733310401
37,0.2595459094655592
38,0.23611024725774082
39,0.19592888723210636
40,0.14173789880785076
41,0.07722765985739334
42,0.006791490299112006
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.04506310402115027
56,0.11293508020264283
57,0.1724581207852964
58,0.2195776402183298
59,0.2510835553957963
60,0.26482904448543776
61,0.25987689002245257
62,0.23656341457521307
63,0.19647563809613816
64,0.14234321640174538
65,0.07785252091838461
66,0.007395546834594101
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.04460017223118477
80,0.11256828681645284
81,0.17221534824752194
82,0.21947825530635043
83,0.2511370800979775
84,0.2650345035644215
85,0.2602228800582794
86,0.23702888967041233
87,0.19703135805774102
88,0.14295375765529503
89,0.07847871172679653
90,0.00799715925701498
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.04414944274199619
104,0.11221642296850452
105,0.17198941431400436
106,0.21939666807467062
107,0.251208345274088
108,0.26525663343334666
109,0.26058353238504595
110,0.23750621818658252
111,0.19759551587704535
112,0.14356895006023737
113,0.07910565700890566
114,0.008595788279999706
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.04371135831043827
128,0.11187982516888363
129,0.17178052505514482
130,0.21933293887795555
131,0.25129726026200166
132,0.26549519748315265
133,0.26095847955396195
134,0.2379949259575093
135,0.19816756216489795
136,0.14418820572502783
137,0.0797327697995596
138,0.009190887294135268
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.04328636227200872
152,0.11155882550804284
153,0.1715888772828676
154,0.21928711445437496
155,0.25140371720663024
156,0.26574993934910723
157,0.26134733298249146
158,0.2384945175873356
159,0.19874692750797182
160,0.14481091915808203
161,0.0803594490204149
162,0.009781899910457534
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.04287490056485956
176,0.11125375342513587
177,0.17141465994836516
178,0.21925922886151028
179,0.2515275914608478
180,0.2660205827492466
181,0.2617496822448947
182,0.2390044752416536
183,0.19933302082365806
184,0.14543646529526658
185,0.08098507731906486
186,0.010368257739767437
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.04247742336292681
200,0.11096493725520454
201,0.1712580555155788
202,0.21924930460639971
203,0.25166874242109977
204,0.2663068319947401
205,0.2621650952450382
206,0.23952425849168388
207,0.19992522891502537
208,0.14606419880642962
209,0.0816090201531462
210,0.010949379300165997
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0420943856649124
224,0.11069270505854466
225,0.17111924102112216
226,0.21925735391199708
227,0.2518270149822828
228,0.26660837359537154
229,0.26259311992300105
230,0.24005330605729014
231,0.2005229181790495
232,0.146693455683046
233,0.08223062718955394
234,0.011524671158803701
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.04172624579048278
248,0.11043738375758574
249,0.17099838797360975
250,0.21928337947347212
251,0.25200224116621184
252,0.2669248787385585
253,0.2630332875086851
254,0.2405910397075397
255,0.20112543895728496
256,0.14732355782092424
257,0.0828492368584247
258,0.012093532179110867
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.04137346085344796
272,0.11019929555385526
273,0.17089566001182993
274,0.21932737357292584
275,0.2521942408515882
276,0.267256005675458
277,0.2634851164912215
278,0.24113686963388967
279,0.20173213205437296
280,0.1479538203148141
281,0.0834641840016739
282,0.012655361060325351
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.04103647895288263
296,0.10997875114043687
297,0.17081120762140828
298,0.21938931469925263
299,0.25240282056648655
300,0.2676014008213288
301,0.26394811602049817
302,0.2416901999890738
303,0.20234233608731886
304,0.14858356019407912
305,0.084074809458806
306,0.013209566185076039
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.04071572908616002
320,0.10977604047734074
321,0.17074516038057708
322,0.21946916178264783
323,0.25262777008587217
324,0.26796069795069033
325,0.2644217877540125
326,0.24225043326708823
327,0.20295539412642755
328,0.14921210487644104
329,0.08468046977492004
330,0.013755575915883656
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0404116107752758
344,0.10959142300491177
345,0.1706976183800256
346,0.21956684733991066
347,0.25286885773831896
348,0.2683335159216358
349,0.26490562609879953
350,0.24281697299317165
351,0.20357065859412043
352,0.1498387989042153
353,0.08528054528089388
354,0.014292847464674411
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.04012448546686029
368,0.10942511941294554
369,0.170668644878649
370,0.21968227147329583
371,0.25312582605913897
372,0.2687194562053065
373,0.2653991177034985
374,0.24338922512799943
375,0.204187494401622
376,0.15046300852263006
377,0.08587444573169165
378,0.014820873140036293
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.03985467106070123
392,0.10927730649037534
393,0.1706582617842417
394,0.21981529824288973
395,0.2533983892649993
396,0.2691181015657126
397,0.2659017413520979
398,0.2439665990989753
399,0.2048052809727889
400,0.15108412447380012
401,0.08646161361116128
402,0.015339183878689171
